antecedents,consequents,support,confidence,lift
Organic Raspberries,Organic Strawberries,0.01,0.2331002331002331,2.9543755779497225
Honeycrisp Apple,Banana,0.0102,0.3878326996197719,2.6011582804813673
Organic Raspberries,Bag of Organic Bananas,0.0131,0.30536130536130535,2.525734535660094
Organic Fuji Apple,Banana,0.0102,0.3642857142857143,2.4432308134521414
Organic Hass Avocado,Bag of Organic Bananas,0.0189,0.2948517940717629,2.4388072297085435
Strawberries,Banana,0.0133,0.2872570194384449,1.926606434865492
Organic Avocado,Banana,0.0159,0.2789473684210526,1.8708743690211442
Organic Baby Spinach,Bag of Organic Bananas,0.0157,0.21655172413793103,1.7911639713641938
Organic Strawberries,Bag of Organic Bananas,0.017,0.21546261089987329,1.7821555905696715
Organic Strawberries,Banana,0.0187,0.23700887198986062,1.5895967269608358
Organic Baby Spinach,Banana,0.0149,0.20551724137931035,1.378385254053054
