antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Honeycrisp Apple'}),frozenset({'Banana'}),0.0286,0.1512,0.012,0.4195804195804196,2.775002775002775,1.0,0.00767568,1.4623903614457832,0.6584723080090591,0.07151370679380215,0.316188053228581,0.24947274947274947
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.0294,0.1512,0.0108,0.3673469387755102,2.4295432458697768,1.0,0.00635472,1.3416516129032257,0.6062229548732743,0.06360424028268552,0.2546500221200639,0.21938775510204084
frozenset({'Cucumber Kirby'}),frozenset({'Banana'}),0.0276,0.1512,0.01,0.36231884057971014,2.396288628172686,1.0,0.00582688,1.3310727272727274,0.599226655697244,0.05924170616113744,0.2487262495048423,0.21422820335863813
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.0448,0.1244,0.0152,0.3392857142857143,2.727377124483234,1.0,0.00962688,1.3252324324324325,0.663052102618355,0.0987012987012987,0.24541538863146903,0.2307361047312816
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.0666,0.1244,0.0216,0.3243243243243243,2.607108716433475,1.0,0.01331496,1.2958880000000002,0.6604171130633526,0.12750885478158205,0.2283283740570172,0.24897888241939686
frozenset({'Strawberries'}),frozenset({'Banana'}),0.0438,0.1512,0.0142,0.32420091324200917,2.1441859341402725,1.0,0.007577440000000001,1.2559945945945947,0.5580658180414847,0.07853982300884955,0.20381822954996368,0.20905812857867656
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.055,0.1512,0.0164,0.2981818181818182,1.9721019721019724,1.0,0.008084000000000001,1.2094300518134715,0.5216156923473997,0.08640674394099053,0.17316425327735416,0.20332371332371335
frozenset({'Organic Whole Milk'}),frozenset({'Banana'}),0.0392,0.1512,0.0104,0.2653061224489796,1.7546701220170609,1.0,0.00447296,1.1553111111111112,0.44763978735668997,0.05777777777777777,0.13443228375233224,0.1670445956160242
frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.0838,0.1512,0.0194,0.2315035799522673,1.531108333017641,1.0,0.00672944,1.1044944099378882,0.3786054906302815,0.08998144712430428,0.09460836469400012,0.1799052291295728
frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.0448,0.0838,0.0102,0.22767857142857145,2.7169280600068193,1.0,0.006445760000000001,1.186293641618497,0.6615758531218182,0.08614864864864866,0.15703838837434125,0.17469847425843849
